Marca temporal,Ingrese su edad,Ingrese su genero,Que red social usa con mayor frecuencia?,Para que la usa?,Cuantas horas le dedica aproximadamente por dia?
4/06/2023 21:34:31,Menos de 20,Masculino,Youtube,Ver creadores de contenido (entretenimiento),3
4/06/2023 21:34:57,20-30,Femenino,Youtube,Ver creadores de contenido (entretenimiento),2
4/06/2023 21:35:15,41-50,Femenino,Instagram,Relacionarse con otros,2
4/06/2023 21:36:28,Mas de 50,Masculino,Twitter,Otro motivo,1
4/06/2023 21:37:25,20-30,Masculino,Youtube,Promocionar/publicar contenido propio,2
4/06/2023 21:38:06,Menos de 20,Femenino,Otra,Promocionar/publicar contenido propio,4
4/06/2023 21:38:51,Menos de 20,Masculino,Instagram,Ver creadores de contenido (entretenimiento),2
4/06/2023 21:39:50,31-40,Masculino,Instagram,Relacionarse con otros,2
4/06/2023 21:41:01,41-50,Masculino,Facebook,Relacionarse con otros,2
4/06/2023 21:42:13,20-30,Femenino,Youtube,Aprender,3
4/06/2023 21:43:01,20-30,Otro,Otra,Ver creadores de contenido (entretenimiento),2
4/06/2023 21:43:18,41-50,Masculino,Youtube,Otro motivo,2
4/06/2023 22:57:34,20-30,Masculino,Youtube,Otro motivo,2
4/06/2023 22:57:52,20-30,Masculino,Tik Tok,Promocionar/publicar contenido propio,2
4/06/2023 22:58:52,Menos de 20,Femenino,Twitter,Promocionar/publicar contenido propio,4
4/06/2023 22:59:12,20-30,Masculino,Snapchat,Relacionarse con otros,1
4/06/2023 22:59:31,20-30,Masculino,Otra,Otro motivo,2
4/06/2023 23:00:12,Mas de 50,Masculino,Youtube,Otro motivo,2
4/06/2023 23:00:55,41-50,Masculino,Instagram,Aprender,1
4/06/2023 23:01:27,Menos de 20,Masculino,Youtube,Ver creadores de contenido (entretenimiento),2
4/06/2023 23:02:09,20-30,Masculino,Youtube,Ver creadores de contenido (entretenimiento),4
4/06/2023 23:02:41,20-30,Masculino,Instagram,Relacionarse con otros,1
4/06/2023 23:04:41,20-30,Masculino,Youtube,Ver creadores de contenido (entretenimiento),3
4/06/2023 23:06:18,31-40,Femenino,Otra,Relacionarse con otros,3
4/06/2023 23:07:39,20-30,Masculino,Otra,Aprender,2
